,username,Item name,Fulfilled at,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore
0,018503,Thermal Skinny Outdoor Trousers Black - 26L / UK8 / Black,2020-04-07,246,1,79.0,2,1,4,214
1,0902179,MAX Stretch Skinny Outdoor Trousers Navy - 28R / UK10 / Navy,2020-08-25,106,1,66.0,4,1,2,412
2,09616007.keg,MAX Stretch Skinny Outdoor Trousers Black - 28R / UK10 / Black,2020-04-27,226,1,66.0,2,1,2,212
3,09sharonlee,GRANITE Mid-weight Outdoor Trousers Grey - 32L / UK14 / Slate Grey,2020-01-26,318,1,70.0,1,1,3,113
4,0meganmitchell0,MAX Stretch Skinny Outdoor Trousers Black - 28R / UK10 / Black,2020-04-24,229,1,66.0,2,1,2,212
5,1049daysandcounting,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 30R / UK12 / Black,2020-04-17,236,1,72.0,2,1,3,213
6,10emily.page,Chino Slim Fit Roll Up Trousers Black - 26 / UK8 / Black,2020-05-19,204,1,40.0,2,1,1,211
7,1159karen,MAX Stretch Skinny Outdoor Trousers Navy - 36L / UK18 / Navy,2020-09-02,98,1,66.0,4,1,2,412
8,1159karen,Thermal Skinny Outdoor Trousers Grey - 36R / UK18 / Grey,2020-01-12,332,1,79.0,1,1,4,114
9,12ela.hil22,Biker Style Mid-Weight Outdoor Trousers Raspberry - 24R / UK6 / Raspberry,2020-08-22,109,1,82.0,4,1,4,414
10,156coastal,GRANITE Mid-weight Outdoor Trousers Grey - 30R / UK12 / Slate Grey,2020-04-08,245,1,70.0,2,1,3,213
11,1626.tas,MAX Stretch Skinny Outdoor Trousers Storm Grey - 30R / UK12 / Storm Grey,2020-05-18,205,1,66.0,2,1,2,212
12,17000538,Grangers Wash + Repel - 300ml,2020-04-30,223,1,9.99,2,1,1,211
13,17015405,MAX Stretch Skinny Outdoor Trousers Taupe - 32L / UK14 / Taupe,2020-05-23,200,1,49.0,3,1,1,311
14,18bourkesterr11,Cargo MAX Stretch Outdoor Trousers Black - 26R / UK8 / Black,2020-01-03,341,1,69.0,1,1,3,113
15,19nrp65,GRANITE Mid-Weight Outdoor Trousers Indigo Blue - 30P / UK12 / Indigo Blue,2020-07-27,135,1,50.0,4,1,1,411
16,1a,GRANITE Mid-weight Outdoor Trousers Charcoal - 28R / UK10 / Charcoal,2020-03-06,278,1,70.0,2,1,3,213
17,1oliviacarter,Biker Style Mid-Weight Outdoor Trouser Raspberry - 30R / UK12 / Raspberry,2020-08-02,129,1,82.0,4,1,4,414
18,1oliviacarter,MAX Stretch Skinny Outdoor Trousers Black - 30R / UK12 / Black,2020-02-29,284,1,66.0,2,1,2,212
19,1sk.kiely,Thermal Skinny Outdoor Trousers Black - 32R / UK14 / Black,2019-12-12,363,1,79.0,1,1,4,114
20,1ucky,Thermal Skinny Outdoor Trousers Black - 26P / UK8 / Black,2020-02-04,309,1,79.0,1,1,4,114
21,2000chlobo,Grangers Wash + Repel - 300ml,2020-02-10,303,1,9.99,1,1,1,111
22,2000chlobo,Mid-Weight MAX Stretch Skinny Outdoor Trousers Khaki - 26R / UK8 / Khaki,2020-01-17,327,1,72.0,1,1,3,113
23,2602sammy,MAX Stretch Skinny Outdoor Trousers Black - 28R / UK10 / Black,2020-06-18,174,1,66.0,3,1,2,312
24,4northenders,Merino Recycled Beanie Winterberry - One Size / Winter Berry,2020-03-18,266,1,23.0,2,1,1,211
25,70demiller,Thermal Skinny Outdoor Trousers Black - 28P / UK10 / Black,2020-01-28,316,1,79.0,1,1,4,114
26,74carruthers,Chino Slim Fit Roll Up Trousers Black - 32 / UK14 / Black,2020-05-23,200,1,40.0,3,1,1,311
27,7brockhall,Chino Slim Fit Roll Up Trousers Black - 28 / UK10 / Black,2020-03-05,279,1,40.0,2,1,1,211
28,7brockhall,GRANITE Mid-weight Outdoor Trousers Charcoal - 30R / UK12 / Charcoal,2020-03-01,283,1,70.0,2,1,3,213
29,88christie88,GRANITE Mid-weight Outdoor Trousers Grey - 28R / UK10 / Slate Grey,2020-06-21,171,1,70.0,3,1,3,313
30,88christie88,MAX Stretch Skinny Outdoor Trousers Khaki - 28R / UK10 / Khaki,2020-06-27,165,1,66.0,3,1,2,312
31,;indagmoore,MAX Stretch Skinny Outdoor Trousers Taupe - 26R / UK8 / Taupe,2020-05-19,204,1,49.0,2,1,1,211
32,ALANGPAYNE55,Outdoor Softshell Leggings - XSmall / Black,2020-08-07,124,1,49.0,4,1,1,411
33,ALANGPAYNE55,Thermal Seamless Base Layer Tights - XSmall - Small / Black,2020-06-09,183,1,29.0,3,1,1,311
34,ALANGPAYNE55,Thermal Seamless Base Layer Top - Xsmall - Small / Black,2020-06-11,181,1,39.0,3,1,1,311
35,ALANGPAYNE55,Thermal Skinny Outdoor Trousers Grey - 26P / UK8 / Grey,2020-02-10,303,1,79.0,1,1,4,114
36,ALANGPAYNE55,Thermal Skinny Outdoor Trousers Khaki - 26P / UK8 / Khaki,2020-02-12,301,1,79.0,1,1,4,114
37,ALANGPAYNE55,Thermal Skinny Outdoor Trousers Winterberry - 24P / UK6 / Winterberry,2020-02-14,299,1,79.0,2,1,4,214
38,ALISONHINTON,Chino Slim Fit Roll Up Trousers Black - 32 / UK14 / Black,2020-03-14,270,1,40.0,2,1,1,211
39,AMANDAJKITE,MAX Stretch Skinny Outdoor Trousers Khaki - 32L / UK14 / Khaki,2020-01-10,334,1,66.0,1,1,2,112
40,AMY.WAREHAM,MAX Stretch Skinny Outdoor Trousers Black - 26P / UK8 / Black,2020-08-19,112,1,66.0,4,1,2,412
41,AP.BIRD100,MAX Stretch Skinny Outdoor Trousers Storm Grey - 30R / UK12 / Storm Grey,2020-06-29,163,1,66.0,3,1,2,312
42,ASDunne,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 30L / UK12 / Black,2020-08-23,108,1,72.0,4,1,3,413
43,Abbie-sinclair,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 30L / UK12 / Black,2020-03-29,255,1,72.0,2,1,3,213
44,Abigail,GRANITE Mid-weight Outdoor Trousers Ocean Blue - 26R / UK8 / Ocean Blue,2020-01-23,321,1,50.0,1,1,1,111
45,Abislater369,MAX Stretch Skinny Outdoor Trousers Bottle Green - 30R / UK12 / Bottle Green,2020-08-28,103,1,66.0,4,1,2,412
46,Abislater369,Water Resistant Summer Hiking Shorts Black - 32R / UK14 / Black,2020-05-30,193,1,30.0,3,1,1,311
47,Ablack5,Thermal Skinny Outdoor Trousers Winterberry - 28R / UK10 / Winterberry,2020-02-01,312,1,79.0,1,1,4,114
48,Acampbell45,GRANITE Mid-weight Outdoor Trousers Grey - 28R / UK10 / Slate Grey,2020-03-03,281,1,70.0,2,1,3,213
49,Accito2001,Thermal Skinny Outdoor Trousers Black - 24P / UK6 / Black,2020-02-18,295,1,82.89,2,1,4,214
50,Aclarkson100,Grangers Wash + Repel - 300ml,2020-01-18,326,1,10.67,1,1,1,111
51,Acscott.jankowski,Cargo MAX Stretch Outdoor Trousers Black - 26P / UK8 / Black,2020-01-03,341,1,85.95,1,1,4,114
52,Adam.ormrod,GRANITE Mid-weight Outdoor Trousers Grey - 30L / UK12 / Slate Grey,2020-03-08,276,1,70.0,2,1,3,213
53,Adele.grant1,Thermal Skinny Outdoor Trousers Black - 30P / UK12 / Black,2019-12-28,347,1,79.0,1,1,4,114
54,Ainegalvin123,MAX Stretch Skinny Outdoor Trousers Taupe - 28L / UK10 / Taupe,2020-05-05,218,1,50.61,2,1,2,212
55,Ainegalvin123,Mid-Weight MAX Stretch Skinny Outdoor Trousers Navy - 28R / UK10 / Navy,2020-03-04,280,1,74.28,2,1,4,214
56,Aislingmorin1,Grangers Wash + Repel - 300ml,2020-07-03,159,1,11.11,3,1,1,311
57,Aislingmorin1,MAX Stretch Skinny Outdoor Trousers Graphite - 32R / UK14 / Graphite,2020-09-06,94,1,68.34,4,1,3,413
58,Alana-marriott95,Thermal Skinny Outdoor Trousers Grey - 26R / UK8 / Grey,2020-03-16,268,1,79.0,2,1,4,214
59,Alenasprenger13,GRANITE Mid-weight Outdoor Trousers Ocean Blue - 28R / UK10 / Ocean Blue,2020-02-16,297,1,51.81,2,1,2,212
60,Alenasprenger13,Outdoor Softshell Leggings - Medium / Black,2020-08-07,124,1,50.53,4,1,2,412
61,Alex.garner2010,Thermal Seamless Base Layer Tights - Medium - Large / Black,2020-01-12,332,1,36.58,1,1,1,111
62,Alex.garner2010,Thermal Skinny Outdoor Trousers Black - 30P / UK12 / Black,2019-12-26,349,1,98.83,1,1,4,114
63,Alex.lacey00,Grangers Wash + Repel - 300ml,2020-05-01,222,1,9.99,2,1,1,211
64,Alicam034,Thermal Skinny Outdoor Trousers Black - 28R / UK10 / Black,2020-01-02,342,1,79.0,1,1,4,114
65,Alice.usen,Chino Slim Fit Roll Up Trousers Black - 26 / UK8 / Black,2020-03-05,279,1,40.0,2,1,1,211
66,Alice_barnett,Cargo MAX Stretch Outdoor Trousers Black - 32R / UK14 / Black,2020-08-01,130,1,69.0,4,1,3,413
67,Alireidnz,Thermal Skinny Outdoor Trousers Black - 32R / UK14 / Black,2019-12-18,357,1,79.0,1,1,4,114
68,Alison,Grangers Merino Wash - 300ml,2020-02-22,291,1,5.0,2,1,1,211
69,Alison,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 28R / UK10 / Black,2020-01-30,314,1,72.0,1,1,3,113
70,Alisonattwood93,GRANITE Mid-Weight Outdoor Trousers Grey - 28L / UK10 / Slate Grey,2020-08-13,118,1,70.0,4,1,3,413
